id,neighbourhood,district,property_type,room_type,accommodates,n_bathrooms,bedrooms,beds,price,wifi,kitchen,parking,balcony,bbq,washer,host_email,host_phone,host_work_email,longitude,latitude
6640108,Schöneberg-Süd,Tempelhof - Schöneberg,Private room in rental unit,Private room,2,1.5,1.0,1.0,39.0,1,1,0,0,0,1,1,1,0,13.35887,52.48204
5985026,Schillerpromenade,Neukölln,Private room in rental unit,Private room,2,1.0,1.0,1.0,30.0,1,1,0,0,0,1,1,1,0,13.42072,52.48558
12949023,Schillerpromenade,Neukölln,Private room in rental unit,Private room,2,1.0,1.0,1.0,45.0,1,1,0,0,0,1,1,1,0,13.42686,52.4746
12016215,Reuterstraße,Neukölln,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,49.0,1,1,0,0,0,1,1,1,0,13.43445,52.49034
18605069,Düsseldorfer Straße,Charlottenburg-Wilm.,Private room in rental unit,Private room,2,0.0,1.0,1.0,40.0,1,0,0,0,0,0,1,1,0,13.31481,52.49916
12016452,Alexanderplatz,Mitte,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,115.0,1,1,0,0,0,1,1,1,1,13.40746,52.52483
6641140,Schöneberg-Nord,Tempelhof - Schöneberg,Entire condo,Entire home/apt,5,1.0,2.0,2.0,222.0,1,1,0,0,0,1,1,1,0,13.33965,52.49689
18606463,Südliche Friedrichstadt,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,1,0.0,1.0,1.0,37.0,1,1,0,0,0,0,1,1,0,13.40577,52.50316
38537364,Alexanderplatz,Mitte,Private room in rental unit,Private room,2,0.0,1.0,1.0,63.0,1,1,1,0,0,1,1,1,0,13.39801,52.52839
18612501,Prenzlauer Berg Südwest,Pankow,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,165.0,1,1,1,0,0,1,1,1,1,13.41441,52.53913
12017389,Kantstraße,Charlottenburg-Wilm.,Private room in rental unit,Private room,1,1.0,1.0,1.0,25.0,1,1,0,0,0,1,1,1,0,13.31431,52.50941
12034707,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,2,1.0,1.0,1.0,23.0,1,1,0,0,0,1,1,1,0,13.46441,52.49884
21210458,Reuterstraße,Neukölln,Private room in rental unit,Private room,2,0.0,1.0,1.0,35.0,1,1,0,1,0,1,1,1,0,13.42996,52.48774
620146902106805438,Alexanderplatz,Mitte,Entire serviced apartment,Entire home/apt,6,1.0,2.0,6.0,242.0,1,1,1,1,0,0,1,1,0,13.40005819622949,52.52485103098879
21212158,Schöneberg-Süd,Tempelhof - Schöneberg,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,83.0,1,1,0,0,0,1,1,1,0,13.3604,52.48218
6010388,Brunnenstr. Süd,Mitte,Private room in rental unit,Private room,1,2.0,1.0,1.0,30.0,1,1,0,0,0,1,1,1,0,13.38661,52.52881
54352014,Brunnenstr. Süd,Mitte,Private room in rental unit,Private room,1,0.0,1.0,1.0,97.0,1,0,1,0,0,1,1,1,0,13.401922,52.530132
